stellarType,starColor
WN3Ia0,151 172 255
WN3Ia,151 172 255
WN3Ib,151 172 255
WN3II,149 173 255
WN3III,150 171 255
WN3IV,148 170 255
WN3V,151 172 255
WN3VI,151 172 255
WN4Ia0,153 174 255
WN4Ia,153 174 255
WN4Ib,153 174 255
WN4II,151 175 255
WN4III,152 172 255
WN4IV,149 171 255
WN4V,153 174 255
WN4VI,153 174 255
WN5Ia0,155 176 255
WN5Ia,155 176 255
WN5Ib,155 176 255
WN5II,153 177 255
WN5III,154 174 255
WN5IV,150 172 255
WN5V,155 176 255
WN5VI,155 176 255
WN6Ia0,157 178 255
WN6Ia,157 178 255
WN6Ib,157 178 255
WN6II,155 179 255
WN6III,156 175 255
WN6IV,151 174 255
WN6V,162 184 255
WN6VI,162 184 255
WN7Ia0,160 181 255
WN7Ia,160 181 255
WN7Ib,160 181 255
WN7II,156 181 255
WN7III,158 177 255
WN7IV,152 175 255
WN7V,157 177 255
WN7VI,157 177 255
WN8Ia0,162 183 255
WN8Ia,162 183 255
WN8Ib,162 183 255
WN8II,158 183 255
WN8III,157 178 255
WN8IV,153 176 255
WN8V,157 177 255
WN8VI,157 177 255
WN9Ia0,164 185 255
WN9Ia,164 185 255
WN9Ib,164 185 255
WN9II,160 186 255
WN9III,158 177 255
WN9IV,155 177 255
WN9V,154 178 255
WN9VI,154 178 255
R0Ia0,255 231 193
R0Ia,255 231 193
R0Ib,255 231 193
R0II,255 237 209
R0III,255 243 233
R0IV,255 245 238
R0V,255 241 229
R0VI,255 241 229
R1Ia0,255 228 187
R1Ia,255 228 187
R1Ib,255 228 187
R1II,255 234 201
R1III,255 239 222
R1IV,255 241 229
R1V,255 238 222
R1VI,255 238 222
R2Ia0,255 225 182
R2Ia,255 225 182
R2Ib,255 225 182
R2II,255 230 192
R2III,255 234 211
R2IV,255 238 221
R2V,255 235 216
R2VI,255 235 216
R3Ia0,255 222 176
R3Ia,255 222 176
R3Ib,255 222 176
R3II,255 227 184
R3III,255 230 199
R3IV,255 234 212
R3V,255 233 209
R3VI,255 233 209
R4Ia0,255 219 171
R4Ia,255 219 171
R4Ib,255 219 171
R4II,255 223 175
R4III,255 225 188
R4IV,255 231 203
R4V,255 230 203
R4VI,255 230 203
R5Ia0,255 216 165
R5Ia,255 216 165
R5Ib,255 216 165
R5II,255 220 167
R5III,255 221 177
R5IV,255 227 194
R5V,255 227 196
R5VI,255 227 196
R6Ia0,255 213 160
R6Ia,255 213 160
R6Ib,255 213 160
R6II,255 217 158
R6III,255 216 166
R6IV,255 224 186
R6V,255 219 182
R6VI,255 219 182
R7Ia0,255 210 154
R7Ia,255 210 154
R7Ib,255 210 154
R7II,255 213 150
R7III,255 212 154
R7IV,255 220 177
R7V,255 211 168
R7VI,255 211 168
R8Ia0,255 207 149
R8Ia,255 207 149
R8Ib,255 207 149
R8II,255 210 141
R8III,255 207 143
R8IV,255 216 168
R8V,255 203 153
R8VI,255 203 153
R9Ia0,255 204 143
R9Ia,255 204 143
R9Ib,255 204 143
R9II,255 207 133
R9III,255 203 132
R9IV,255 213 160
R9V,255 195 139
R9VI,255 195 139
C0Ia0,255 231 193
C0Ia,255 231 193
C0Ib,255 231 193
C0II,255 237 209
C0III,255 243 233
C0IV,255 245 238
C0V,255 241 229
C0VI,255 241 229
C1Ia0,255 222 172
C1Ia,255 222 172
C1Ib,255 222 172
C1II,255 232 196
