id,hip,proper,ra,dec,dist,mag,spect,x,y,z,ci
20527,20579,,4.408098,34.130758,137.3626,5.73,B8V,46.02692,103.970862,77.071904,0.549
21766,21819,,4.688822,28.614994,116.9591,5.73,A2V,34.556239,96.683725,56.014347,0.473
25131,25194,,5.390006,-39.678423,199.2032,5.73,M2III,24.379861,151.364352,-127.187215,0.804
26900,26966,,5.722686,-18.557475,75.0751,5.73,A0V,5.162575,70.984287,-23.893156,0.035
31113,31190,,6.54416,-32.030447,537.6344,5.73,B2V,-64.71258,451.171207,-285.145164,1.062
33628,33715,,7.004396,16.078998,100000,5.73,K3Ib,-24976.21389,92785.27223,27696.24591,0.226
37216,37322,,7.662171,-38.139287,175.4386,5.73,B5V,-58.167614,125.125196,-108.346716,0.617
39910,40023,,8.174218,25.507334,41.3565,5.73,G8IV,-20.11697,31.440002,17.809044,0.237
40657,40772,,8.321437,62.507159,141.6431,5.73,G8III,-37.33784,53.679137,125.647119,0.097
44795,44923,,9.15117,-18.328548,83.682,5.73,A0/A1V,-58.348783,53.903944,-26.315149,1.014
47056,47189,,9.617384,16.437952,355.8719,5.73,K1III,-277.048966,199.367799,100.703517,1.476
50641,50786,,10.369607,41.22953,39.4322,5.73,F7V,-26.995196,12.277387,25.988824,0.012
53222,53377,,10.916163,34.034798,88.8889,5.73,G7III:,-70.716298,20.622079,49.750649,0.25
55631,55797,,11.43254,55.850459,94.0734,5.73,K0III,-52.226823,7.816575,77.852775,1.052
56859,57029,,11.69286,31.746058,41.1523,5.73,F4V,-34.882602,2.811032,21.652656,0.399
57497,57670,,11.828258,34.931758,69.4444,5.73,F5IV,-56.875332,2.559008,39.763854,0.985
60144,60329,,12.370009,-68.307316,100.2004,5.73,K0III,-36.863322,-3.582087,-93.104351,-0.04
66191,66400,,13.61346,-26.495198,81.5661,5.73,A7V+...,-66.583131,-29.926257,-36.388457,1.38
66516,66727,,13.677909,19.955719,100.6036,5.73,A1V,-85.585022,-40.21602,34.335306,0.586
67450,67664,,13.863174,-69.401258,223.2143,5.73,K5/M0III,-69.372899,-36.804921,-208.943683,1
77750,77986,,15.925166,42.566193,164.4737,5.73,B9p,-62.610622,-103.698584,111.256737,0.485
78422,78661,,16.058718,76.793939,157.4803,5.73,A3V,-17.50749,-31.429742,153.315553,0.415
82171,82422,,16.844155,29.806538,327.8689,5.73,M1III,-84.780138,-271.568637,162.974724,0.217
83278,83535,,17.073534,-57.712166,174.5201,5.73,B5IV,-22.390252,-90.495164,-147.535001,0.385
86464,86731,,17.722659,24.327821,39.0625,5.73,G2IIIb,-2.582126,-35.499885,16.091969,-0.069
91686,91973,,18.746722,37.594615,47.6872,5.73,F0IVvar,7.339623,-37.064921,29.092427,0.333
93258,93552,,19.054915,-38.253147,68.4932,5.73,F2III/IV,14.666458,-51.748334,-42.406702,0.263
95360,95656,,19.457212,52.320436,107.5269,5.73,A1V,24.470181,-61.000174,85.101275,1.479
98441,98754,,20.058338,16.031255,195.6947,5.73,B9MNp...,96.51874,-161.430451,54.043322,-0.105
98454,98767,,20.060373,29.896805,15.8579,5.73,G6IV+...,7.060984,-11.795308,7.903998,0.346
99507,99825,,20.254806,-27.032977,8.9111,5.73,K3V,4.417951,-6.593863,-4.049903,2.42
100533,100859,,20.450624,49.383367,37.5657,5.73,F0V:,14.63523,-19.59221,28.515324,0.928
104641,104978,,21.262738,-53.263084,131.2336,5.73,A6IV,59.188892,-51.558992,-105.169258,-0.15
106313,106654,,21.603046,-26.171516,58.4454,5.73,A7/A8IV,42.460197,-30.797396,-25.777838,0.342
106819,107162,,21.706376,41.077019,126.4223,5.73,A0V,78.629547,-53.847521,83.068526,-0.022
111196,111546,,22.597857,39.634331,662.2517,5.73,B1Ve,476.042633,-183.042144,422.440729,-0.04
112862,113222,,22.929029,36.35139,191.2046,5.73,B7III,147.982167,-42.613694,113.333816,0.342
116721,117088,,23.736676,-64.404451,223.2143,5.73,K3II,96.202981,-6.64249,-201.309303,-0.042
1351,1354,,0.282513,61.533185,190.1141,5.74,G8III,90.370066,6.696118,167.128006,0.291
3759,3765,96 G. Psc,0.806382,5.280615,7.4549,5.74,K2V,7.258368,1.555495,0.686093,1.084
11971,12002,,2.578507,-7.859445,140.647,5.74,K4III,108.768331,87.070085,-19.232582,-0.082
12090,12122,,2.602574,-30.044978,178.5714,5.74,G8/K0III,120.063507,97.359536,-89.407081,1.7
12607,12640,,2.706094,20.011465,116.8224,5.74,A0V,83.355224,71.422406,39.977558,0.145
14641,14677,,3.160206,29.07708,323.6246,5.74,B8III,191.434401,208.205907,157.276954,0.135
16103,16142,,3.46693,-11.2866,97.6562,5.74,K2III,58.955197,75.469926,-19.112955,0.201
