StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
36241,48884,86463, , ,,,9.97055612,-25.13112151,184.1620626,6.77,0.443999148,A1/A2IV     ,0.069
37271,50286,88759, , ,,,10.26753745,60.15069868,184.1620626,6.77,0.443999148,F2          ,0.423
37580,50687,89572, , ,,,10.35101927,41.84938697,208.3333333,6.77,0.176206187,A0          ,0.033
38551,51977,92056, , ,,,10.62023924,-31.76271002,526.3157895,6.77,-1.836231995,K3III       ,1.367
38612,52064,91948, , ,,,10.63885969,60.12503008,70.5716302,6.77,2.526849251,F8          ,0.465
39228,52924,93850, , ,,,10.82381491,-42.36750513,147.7104874,6.77,0.922943343,K1/K2III    ,1.195
39875,53840,95506, , ,,,11.01425484,-40.49812916,66.18133686,6.77,2.666322322,F7V         ,0.532
40790,55109,98180, , ,,,11.28333693,-54.77689966,54.2888165,6.77,3.096448129,F3V         ,0.423
41084,55537,98922, , ,,,11.37546751,-53.36984937,1041.666667,6.77,-3.318643835,B9Ve        ,0.037
42757,57994,103246, , ,,,11.89532811,73.75635119,57.17552887,6.77,2.983949047,F8          ,0.574
43034,58388,103974,4577,,          , ,11.97231464,-40.94731252,86.35578584,6.77,2.088542797,K1III       ,0.963
43087,58465,104125, , ,,,11.98993837,-57.16796196,96.71179884,6.77,1.842602694,A2V         ,0.173
43485,59068,105205, , ,,,12.11316285,-12.24084421,76.68711656,6.77,2.346387957,F0          ,0.323
44361,60334,107547, , ,,,12.370855,-73.50367818,125.4705144,6.77,1.277291607,A4/A5V      ,0.161
45304,61709,109813, , ,,,12.64854267,-76.06591273,252.5252525,6.77,-0.24152407,K4III       ,1.68
46292,63236,112383, , ,,,12.95729116,-67.96066515,111.4827202,6.77,1.533962215,A2IV/V      ,0.083
47705,65373,116337, , ,,,13.39797717,-47.89048851,164.4736842,6.77,0.689517896,K0III       ,1.034
48338,66292,118084, , ,,,13.58674705,-32.21232053,66.35700066,6.77,2.660566262,F0V         ,0.368
49427,67888,121157, , ,,,13.90446967,-28.7431458,133.5113485,6.77,1.142409088,K2/K3III    ,1.188
49438,67899,121009, , ,,,13.90670631,-54.41210962,180.1801802,6.77,0.491464916,G8/K0III    ,0.931
50304,69213,123746, , ,,,14.17029605,-30.62088787,117.5088132,6.77,1.4196478,A2IV/V      ,0.111
52509,72550,130870, , ,,,14.83229929,24.72047221,162.3376623,6.77,0.717903561,B9          ,0.027
53004,73253,132343, , ,,,14.97116471,14.03758707,196.0784314,6.77,0.30785088,K3III       ,1.306
54269,75122,136187, , ,,,15.35129539,-47.76031521,44.50378282,6.77,3.528015362,F5V         ,0.44
56210,78024,142661, , ,,,15.93184363,-2.16425957,37.67897513,6.77,3.889504593,G0...       ,0.61
56313,78183,142884, , ,,,15.96355761,-23.52726145,122.2493888,6.77,1.333766518,B8/B9III    ,-0.008
57752,80267,147371, , ,,,16.38546137,-37.42445994,149.4768311,6.77,0.897130589,K2/K3III    ,1.271
59576,82829,152491, , ,,,16.92647506,-43.3159484,175.1313485,6.77,0.553180541,A1V         ,0.029
59640,82918,153064, , ,,,16.94435069,14.14019356,125.9445844,6.77,1.269102512,K0          ,0.945
60477,84063,154813, , ,,,17.18593926,-58.02548364,568.1818182,6.77,-2.002436661,G5/G6Ib     ,1.288
60489,84082,155423, , ,,,17.18961658,4.69027496,43.80201489,6.77,3.562529557,F8          ,0.569
61711,85744,158955, , ,,,17.52186726,19.52206843,170.9401709,6.77,0.60577933,K5          ,1.556
62864,87312,161566, , ,,,17.84045724,-61.92467715,57.33944954,6.77,2.977732403,F6V         ,0.529
63198,87761,163346, , ,,,17.92708528,2.07492314,197.2386588,6.77,0.295039797,A3          ,0.574
63861,88686,165684, , ,,,18.10473535,24.41371432,285.7142857,6.77,-0.509659778,K0          ,1.421
64326,89294,167134, , ,,,18.22102052,16.27327829,59.88023952,6.77,2.883582356,F8IV        ,0.545
64822,89955,168403, , ,,,18.35400575,-39.02170116,182.1493625,6.77,0.467861722,A0II/III(p) ,0.128
